Country,State,Year,Name Of The Coal Field,Type Of Coal,Depth Of The Reserve,Type Of Reserve,"Coal Reserved Quantity (UOM:t(Tonne)), Scaling Factor:1000000"
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Semi-Coking,300-600,Inferred,53
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Semi-Coking,300-600,Proved,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Medium Coking,0-300,Indicated,9
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Medium Coking,0-300,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Medium Coking,0-300,Proved,220
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Medium Coking,300-600,Indicated,8
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Medium Coking,300-600,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Medium Coking,300-600,Proved,49
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Non-Coking,0-300,Indicated,89
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Non-Coking,0-300,Inferred,30
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Non-Coking,0-300,Proved,1112
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Non-Coking,300-600,Indicated,320
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Non-Coking,300-600,Inferred,2
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Non-Coking,300-600,Proved,106
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Semi-Coking,0-300,Indicated,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Semi-Coking,0-300,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Semi-Coking,0-300,Proved,51
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Semi-Coking,300-600,Indicated,40
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Semi-Coking,300-600,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Raniganj,Semi-Coking,300-600,Proved,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Medium Coking,300-600,Indicated,248
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Medium Coking,300-600,Inferred,33
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Medium Coking,300-600,Proved,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Medium Coking,600-1200,Indicated,265
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Medium Coking,600-1200,Inferred,263
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Medium Coking,600-1200,Proved,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Non-Coking,0-300,Indicated,379
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Non-Coking,0-300,Inferred,262
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Non-Coking,0-300,Proved,3241
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Non-Coking,300-600,Indicated,376
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Non-Coking,300-600,Inferred,585
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Non-Coking,300-600,Proved,1373
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Non-Coking,600-1200,Indicated,44
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Non-Coking,600-1200,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",South Karanpura,Non-Coking,600-1200,Proved,562
India,Jharkhand,"Financial Year (Apr - Mar), 2021",West Bokaro,Medium Coking,0-300,Indicated,1077
India,Jharkhand,"Financial Year (Apr - Mar), 2021",West Bokaro,Medium Coking,0-300,Inferred,17
